"id";"Name";"Description";"img_path"
"101";"Kidney";"The kidneys are situated in the posterior part of the abdomen, one on either side of the vertebral column, behind the peritoneum, and surrounded by a mass of fat and loose connective tissue. Their upper extremities are on a level with the upper border of the twelfth thoracic vertebra, their lower extremities on a level with the third lumbar. The right kidney is usually slightly lower than the left, probably on account of the vicinity of the liver. The long axis of each kidney is directed inferior, and lateral; the transverse axis posterior and lateral. Each kidney is about 11.25 cm in length, 5 to 7.5 cm in breadth, and a little more than 2.5 cm in thickness. The left is somewhat longer, and narrower, than the right. The weight of the kidney in the adult male varies from 125 to 170 gm, in the adult female from 115 to 155 gm. The combined weight of the two kidneys in proportion to that of the body is about 1 to 240. The kidney has a characteristic form, and presents for examination two surfaces, two borders, and an upper and lower extremity.";"Anatomy_img/K/1.png"
"102";"Knee joint and ligaments";"The relationships between the femur and the tibia provide no interlocking joint mechanisms or stability between these neighboring bones and from this perspective the knee joint is completely unstable. That is, there are no deep-seated sockets or hinge-like grooves that limit and stabilize the movements of articulating bones. Instead, the knuckle-like ends of the femur sit on the flat plateau-like surface of the tibia. The strength of the knee joint is dependent on strong ligaments and surrounding muscles. Although its primary motions are of a hinge nature, it is a complex joint with subtle rotational and sliding movements also.";"Anatomy_img/K/2.png"
"103";"Knee";"The knee joint is the largest joint in the human body, and the joint most commonly affected by arthritis. Knowing about knee anatomy can help people understand how knee arthritis develops and sometimes causes pain.";"Anatomy_img/K/3.png"
"104";"Knee region";"region overlying the knee joint between the femoral region (thigh) proximally and leg distally; includes the anterior and posterior regions of the knee, the latter including the popliteal fossa.";"Anatomy_img/K/4.png"
"105";"Lower limb - bones of";"The broad base of the inferior limb is the pelvic girdle. This girdle is the strong fusion of three bones, the ilium, ischium, and pubis. It is firmly anchored to the axial skeleton via ligamentous attachments at the sacro-iliac joint. The bony framework of the next segment of the limb, the thigh, is the femur with the sesamoid patella at its distal end. Distal to the femur, the tibia and fibula form the skeleton of the leg. The distal most region of the inferior limb is the foot consisting of seven tarsal bones, five metatarsal bones, and fourteen phalanges.";"Anatomy_img/L/1.png"
"106";"Lacrimal gland";"In human physiology, the lacrimal glands are paired, almond-shaped exocrine glands, one for each eye, that secrete the aqueous layer of the tear film. They are situated in the upper lateral region of each orbit, in the lacrimal fossa of the orbit formed by the frontal bone.";"Anatomy_img/L/2.png"
"107";"Lateral process of calcaneal tuberosity";"The lateral process of the calcaneal tuberosity, small, prominent, and rounded, gives origin to part of the Abductor digiti quinti.";"Anatomy_img/L/3.png"
"108";"Lacrimal papilla";"The lacrimal papilla is the small rise in the bottom eyelid just before it ends at the corner of the eye closest to the nose. In the middle of it is the lacrimal punctum, a small hole that lets tears drain into the inside of the nose through the lacrimal canaliculi.";"Anatomy_img/L/4.png"
"109";"Lateral process of the talus";"The lateral process of the talus is a large, wedge-shaped osseous projection that extends laterally from the body of the talus. Its inferolateral surface comprises a portion of the posterior facet of the talocalcaneal joint, while its superolateral surface articulates with the lateral malleolus.";"Anatomy_img/L/5.png"
"110";"Lacrimal sac";"The lacrimal sac or lachrymal sac is the upper dilated end of the nasolacrimal duct, and is lodged in a deep groove formed by the lacrimal bone and frontal process of the maxilla.";"Anatomy_img/L/6.png"
"111";"Lateral tubercle";"Lateral process on the groove for tendon of flexor hallucis longus.";"Anatomy_img/L/7.png"
"112";"Lobule of auricle";"The lobule, the fleshy lower part of the auricle, is the only area of the outer ear that contains no cartilage. The auricle also has several small rudimentary muscles, which fasten it to the skull and scalp.";"Anatomy_img/L/8.png"
"113";"Lateral cuneiform";"The lateral cuneiform is a wedge-shaped bone. It is smaller than the medial cuneiform and larger than the intermediate cuneiform. It lies edge downward, between the intermediate cuneiform and cuboid.";"Anatomy_img/L/9.png"
"114";"Lateral articular facet";"The biomechanical function of each pair of facet joints is to guide and limit movement of the spinal motion segment. In the lumbar spine, for example, the facet joints function to protect the motion segment from anterior shear forces, excessive rotation and flexion. Facet joints appear to have little influence on the range of side bending (lateral flexion). These functions can be disrupted by degeneration, dislocation, fracture, injury, instability from trauma, osteoarthritis, and surgery. In the thoracic spine the facet joints function to restrain the amount of flexion and anterior translation of the corresponding vertebral segment and function to facilitate rotation. Cavitation of the synovial fluid within the facet joints is responsible for the popping sound (crepitus) associated with manual spinal manipulation, commonly referred to as ""cracking the back.""";"Anatomy_img/L/10.png"
"115";"Medial process of calcaneal tuberosity";"The medial process of the calcaneal tuberosity, broader and larger, gives attachment, by its prominent medial margin, to the Abductor hallucis, and in front to the Flexor digitorum brevis and the plantar aponeurosis.";"Anatomy_img/M/1.png"
"116";"Macula";"The macula is the central area of the retina and is of particular interest to retina specialists. Remember, that the retina is the light. sensitive tissue which lines the inside of the eye. The macula is the functional center of the retina. It gives us the ability to see “20/20” and provides the best color vision.";"Anatomy_img/M/2.png"
"117";"Middle talar articular surface";"On the superior surface of the calcaneus, in front and to the medial side of the calcaneal sulcus is an elongated facet, concave from behind forward, and with its long axis directed forward and lateralward. This facet is frequently divided into two by a notch: of the two, the posterior, and larger is termed the middle talar articular surface; it is supported on a projecting process of bone, the sustentaculum tali, and articulates with the middle calcaneal facet on the under surface of the talus; the anterior talar articular surface is placed on the anterior part of the body, and articulates with the anterior calcaneal facet on the talus.";"Anatomy_img/M/3.png"
"118";"Middle ear";"he middle ear is the part of the ear between the eardrum and the oval window. The middle ear transmits sound from the outer ear to the inner ear. The middle ear consists of three bones: the hammer (malleus), the anvil (incus) and the stirrup (stapes), the oval window, the round window and the Eustrachian tube.";"Anatomy_img/M/4.png"
"119";"Medial tubercle";"Medial process of the groove for tendon of flexor hallucis longus.";"Anatomy_img/M/5.png"
"120";"Mastoid antrum";"The mastoid antrum (tympanic antrum, antrum mastoideum, Valsalva's antrum) is an air space in the petrous portion of the temporal bone, communicating posteriorly with the mastoid cells and anteriorly with the epitympanic recess of the middle ear via the aditus to mastoid antrum (entrance to the mastoid antrum). These air spaces function as sound receptors, provide voice resonance, act as acoustic insulation and dissipation, provide protection from physical damage and reduce the mass of the cranium.[citation needed] The roof is formed by the tegmen antri which is a continuation of the tegmen tympani and separates it from the middle cranial fossa. The lateral wall of the antrum is formed by a plate of bone which is an average of 1.5 cm in adults. The mastoid air cell system is a major contributor to middle ear inflammatory diseases.";"Anatomy_img/M/6.png"
"121";"Medial cuneiform";"The medial cuneiform (also known as first cuneiform) is the largest of the cuneiforms. It is situated at the medial side of the foot, anterior to the navicular bone and posterior to the base of the first metatarsal. Lateral to it is the intermediate cuneiform.";"Anatomy_img/M/7.png"
"122";"Membranous labyrinth";"The membranous labyrinth (latin: labyrinthus membranaceus) is a system of ducts and dilatations located within the bony labyrinth of the internal ear and it contains the receptors for hearing and balance. The membranous labyrinth is composed of two functional parts: the vestibular labyrinth and the cochlear labyrinth.";"Anatomy_img/M/8.png"
"123";"Metatarsal 1";"The first metatarsal bone is the bone in the foot just behind the big toe. The first metatarsal bone is the shortest of the metatarsal bones and by far the thickest and strongest of them.Like the four other metatarsals, it can be divided into three parts: base, body and head. The base is the part closest to the ankle and the head is closest to the big toe. The narrowed part in the middle is referred to as the body of the bone. The bone is somewhat flattened, giving it two sides: the plantar (towards the sole of the foot) and the dorsal side.";"Anatomy_img/M/9.png"
"124";"Neck of talus";"This landmark is the narrowed distal projection of the talar body. It has a rough surface texture perforated by many nutrient foramina. It serves as the attachment site for many talar ligaments.";"Anatomy_img/N/1.png"
"125";"Navicular";"This short, disc-like bone is positioned between the distal end of the talar head and the proximal end of the three cuneiform bones. Its proximal and distal surfaces present as flattened oval faces. The proximal surface forms a shallow oval concavity. The distal surface, being transversely convex, divides into three aspects that form articular surfaces with the three cuneiform bones. Dorsal, lateral, plantar, and medial surfaces form a rough circumference to the disk. The medial surface projects as a rounded tubercle while the lateral surface presents as a small, smooth articular surface. The dorsal surface is convex and the plantar surface concave.";"Anatomy_img/N/2.png"
"126";"Neck of the femur";"The neck is the cantilevered extension of the femoral shaft capped by the femoral head. It is wider at its base and projects anterior to the plane of the shaft. It is approximately 5 cm in length and forms an angle with the shaft of about 125 degrees. Its compact surface bone contains many nutrient foramina, with the compact bone being thickest on the inferior surface. The entire anterior surface of the neck and the proximal half of the posterior surface is within the capsular ligament.";"Anatomy_img/N/3.png"
"127";"Neck of the fibula";"This is the narrowed region just below the head. Crossing the lateral surface of the neck is the common fibular (peroneal) nerve that is palpable at this point. With your fingers roll this nerve against the fibular neck and send a tingling sensation into your leg and foot.";"Anatomy_img/E/N.png"
"128";"Neck of the scapula";"The neck is just medial to the thick rim of bone around the glenoid cavity. It is a narrow constriction of the lateral angle that extends toward the base of the coracoid process and the spine.";"Anatomy_img/N/5.png"
"129";"Neck of the radius";"This is the constriction of the proximal radial shaft just distal to the expanded head.";"Anatomy_img/N/6.png"
"130";"Neck of rib 1";"The neck is the portion of bone that tapers proximally from the wider head. It terminates distally as the prominent tubercle. The neck is usually slightly rough and perforated by many small foramina. Various ligaments anchor from this portion of the rib to the adjacent vertebrae and ribs. The neck of the first rib is long and angled sharply from the rest of the bone.";"Anatomy_img/N/7.png"
"131";"Neck of rib 2";"The neck is the portion of bone that tapers proximally from the wider head. It ends distally as the prominent tubercle. The neck is usually slightly rough and perforated by many small foramina. Various ligaments anchor from this portion of the rib to the adjacent vertebrae and ribs.";"Anatomy_img/N/8.png"
"132";"Neck of rib 3";"The neck is the portion of bone that tapers proximally from the wider head. It ends distally as the prominent tubercle. The neck is usually slightly rough and perforated by many small foramina. Various ligaments anchor from this portion of the rib to the adjacent vertebrae and ribs.";"Anatomy_img/N/9.png"
"133";"Neck of rib 4";"The neck is the portion of bone that tapers proximally from the wider head. It ends distally as the prominent tubercle. The neck is usually slightly rough and perforated by many small foramina. Various ligaments anchor from this portion of the rib to the adjacent vertebrae and ribs.";"Anatomy_img/N/10.png"
"134";"Optic disc";"The optic disc is the point at which the optic nerve connects to the retina. The optic disc is commonly called the “blind spot” because it is the only part of the surface of the retina that is insensitive to light. It is located 3 millimeters to the nasal side of the macula. The circumference of the optic disk is slightly raised to form an eminence. There is also a central depression called the optic cup.";"Anatomy_img/O/1.png"
"135";"Os coxae";"These elements are the ilium, ischium, and pubis. In more primitive vertebrates these three elements are distinguished as three distinct bones. Over phylogenetic time they fuse to form the single os coxa. The junction of the bones occurs in the joint socket, the acetabulum. The united os coxae and sacrum form the pelvic girdle, uniting the posterior limbs to the axial skeleton. In general, the bone is composed two plates of compact bone with an internal core of spongy bone. In some thin areas of the bone, the inner spongy bone is absent and there exists only a thin plate of compact bone. In other areas where the bone is thick, dense compact buttresses are formed for additional strength. The details of the bone will be described with each of its elemental parts.";"Anatomy_img/O/2.png"
"136";"Obturator crest";"This sharp ridge-like crest faces anterolaterally on the external surface of the superior ramus. It serves as the upper border of the obturator foramen and provides attachment for the obturator membrane.";"Anatomy_img/O/3.png"
"137";"Obturator sulcus";"The obturator sulcus or groove is a notch in the superior border of the obturator foramen that allows passage between the true pelvis internal to the obturator foramen and the thigh externally. Through this opening pass the obturator vessels and nerve.";"Anatomy_img/O/4.png"
"138";"Obturator foramen";"This opening between pubic and ischial elements is positioned anteroinferior to the acetabulum. Its borders are the superior ramus of the pubis superiorly, the body and inferior ramus of the pubis medially, the ischial ramus inferiorly, and the body of the ischium laterally. A ligamentous membrane occludes the opening attaching around its margin, except superiorly where a small semilunar gap allows for communication between the pelvis and thigh. The foramen is larger in males than in females having an oval form and triangular form, respectively.";"Anatomy_img/O/5.png"
"139";"Obturator membrane";"The obturator membrane is the strong fibrous membrane that spans across the obturator foramen. It is perforated superiorly by the obturator canal, which transmits the obturator vessels and nerves into the medial compartment of the thigh. It also provides attachment surface for the internal and external obturator muscles.";"Anatomy_img/O/6.png"
"140";"Olecranon fossa";"In the extended position this concavity, on the posterior side of the distal humerus, receives the olecranon process.";"Anatomy_img/O/7.png"
"141";"Olecranon";"This forms the knob-like projection at the proximodorsal end of the bone. Elbow is the lay term for this process. It provides attachment to the aponeurotic tendon of the triceps brachii muscle.";"Anatomy_img/O/8.png"
"142";"Oblique line of the radius";"This is a ridge-like line coursing from the distolateral aspect of the tuberosity to the lateral border of the mid-radial shaft. It provides attachment to the radial head of the flexor digitorum superficialis.";"Anatomy_img/O/9.png"
"143";"Orbital plate";"This is the horizontal portion of the frontal bone forming the roofs of the orbits. It is a thin plate of bone, especially medially where it can be translucent. Its orbital surface is smooth, while its cranial surface is smooth to corrugate. The corrugations are impressions formed by the gyri of the frontal lobe of the brain.";"Anatomy_img/O/10.png"
"144";"Peroneal trochlea";"Located on the distal third of the lateral surface of the calcaneus this variable sized projection serves as the pulley-like prominence around which the peroneus longus and brevis tendons course as they pass distally into the foot. It is palpable approximately 2 centimeters inferior to the fibular malleolus.";"Anatomy_img/P/1.png"
<br />
<b>Fatal error</b>:  Uncaught TypeError: Return value of PhpMyAdmin\Encoding::convertString() must be of the type string, boolean returned in C:\xampp\phpMyAdmin\libraries\classes\Encoding.php:203
Stack trace:
#0 C:\xampp\phpMyAdmin\libraries\classes\Export.php(156): PhpMyAdmin\Encoding::convertString('utf-8', 'windows-1252', '&quot;145&quot;;&quot;Posterio...')
#1 C:\xampp\phpMyAdmin\libraries\classes\Plugins\Export\ExportCsv.php(339): PhpMyAdmin\Export-&gt;outputHandler('&quot;145&quot;;&quot;Posterio...')
#2 C:\xampp\phpMyAdmin\libraries\classes\Export.php(1003): PhpMyAdmin\Plugins\Export\ExportCsv-&gt;exportData('autonomy', 'autobot', '\r\n', 'tbl_export.php?...', 'SELECT `id`, `N...', Array)
#3 C:\xampp\phpMyAdmin\export.php(589): PhpMyAdmin\Export-&gt;exportTable('autonomy', 'autobot', 'data', Object(PhpMyAdmin\Plugins\Export\ExportExcel), '\r\n', 'tbl_export.php?...', 'table', false, false, false, false, '1', '0', '0', '', Array)
#4 {main}
  thrown in <b>C:\xampp\phpMyAdmin\libraries\classes\Encoding.php</b> on line <b>203</b><br />
